lab,method,subid,age_days,trial_type,trial_num,looking_time
ubc,single-screen,GM26,198.8,ADS,7.0,5.84
ubc,single-screen,C38,169.5,ADS,7.0,4.47
ubc,single-screen,SF11,181.5,ADS,7.0,2.76
ubc,single-screen,M25,178.5,ADS,7.0,3.33
ubc,single-screen,FA23,174.5,ADS,7.0,8.0
ubc,single-screen,AJ17,153.5,ADS,7.0,NA
ubc,single-screen,EM16,133.2,ADS,7.0,12.01
ubc,single-screen,OJ21,158.5,ADS,7.0,9.73
ubc,single-screen,AZ13,186.8,ADS,7.0,10.91
ubc,single-screen,YL19,156.5,ADS,7.0,12.83
ubc,single-screen,OC20,166.5,ADS,7.0,11.33
ubc,single-screen,EA24,163.5,ADS,7.0,15.62
ubc,single-screen,EF27,194.8,ADS,7.0,9.1
ubc,single-screen,NB33,186.8,ADS,7.0,5.17
ubc,single-screen,I?35,140.2,ADS,7.0,5.23
ubc,single-screen,IV34,103.9,ADS,7.0,20.0
ubc,single-screen,OC29,155.5,ADS,7.0,11.46
ubc,single-screen,AC18,111.9,ADS,8.0,6.66
ubc,single-screen,ES14,159.5,ADS,8.0,3.68
ubc,single-screen,GM26,198.8,ADS,8.0,1.94
ubc,single-screen,C38,169.5,ADS,8.0,4.98
ubc,single-screen,SF11,181.5,ADS,8.0,2.36
ubc,single-screen,M25,178.5,ADS,8.0,5.93
ubc,single-screen,FA23,174.5,ADS,8.0,4.81
ubc,single-screen,AJ17,153.5,ADS,8.0,NA
ubc,single-screen,EM16,133.2,ADS,8.0,2.83
ubc,single-screen,OJ21,158.5,ADS,8.0,9.14
ubc,single-screen,AZ13,186.8,ADS,8.0,10.18
ubc,single-screen,YL19,156.5,ADS,8.0,15.86
ubc,single-screen,OC20,166.5,ADS,8.0,1.09
ubc,single-screen,EA24,163.5,ADS,8.0,5.97
ubc,single-screen,EF27,194.8,ADS,8.0,2.16
ubc,single-screen,NB33,186.8,ADS,8.0,5.35
ubc,single-screen,I?35,140.2,ADS,8.0,11.91
ubc,single-screen,IV34,103.9,ADS,8.0,NA
ubc,single-screen,OC29,155.5,ADS,8.0,NA
stanford,eye-tracking,P03-A,450.0,IDS,1.0,0.0
stanford,eye-tracking,P03-A,450.0,ADS,1.0,0.06700000000000017
stanford,eye-tracking,P03-A,450.0,IDS,2.0,0.03399999999999892
stanford,eye-tracking,P03-A,450.0,ADS,2.0,0.03300000000000125
stanford,eye-tracking,P03-A,450.0,ADS,3.0,0.03300000000000125
stanford,eye-tracking,P03-A,450.0,IDS,3.0,0.19899999999999807
stanford,eye-tracking,P03-A,450.0,IDS,4.0,0.0
stanford,eye-tracking,P03-A,450.0,ADS,4.0,0.0
stanford,eye-tracking,P03-A,450.0,ADS,5.0,0.0
stanford,eye-tracking,P03-A,450.0,IDS,5.0,0.0
stanford,eye-tracking,P03-A,450.0,ADS,6.0,0.0
stanford,eye-tracking,P03-A,450.0,IDS,6.0,0.9329999999999359
stanford,eye-tracking,P03-A,450.0,IDS,7.0,1.5319999999999538
stanford,eye-tracking,P03-A,450.0,ADS,7.0,0.7009999999999081
stanford,eye-tracking,P03-A,450.0,ADS,8.0,2.3679999999999097
